Testfragen,Erwartete Antwort
Wo melde ich den externen Datenschutzbeauftragten?,"Wenn Sie uns als Ihren externen Datenschutzbeauftragten bestellt haben, können Sie uns auf Ihrer Webseite sowie in Verträgen und bei der zuständigen Datenschutzaufsichtsbehörde mit den folgenden Kontaktdaten benennen: IITR Datenschutz GmbH, Dr. Sebastian Kraska, Marienplatz 2, 80331 München, E-Mail: email@iitr.de, Telefon: 089 189 173 60"
Mit welchen Kontaktdaten melde ich den externen Datenschutzbeauftragten?,"Wenn Sie uns als Ihren externen Datenschutzbeauftragten bestellt haben, können Sie uns auf Ihrer Webseite sowie in Verträgen und bei der zuständigen Datenschutzaufsichtsbehörde mit den folgenden Kontaktdaten benennen: IITR Datenschutz GmbH, Dr. Sebastian Kraska, Marienplatz 2, 80331 München, E-Mail: email@iitr.de, Telefon: 089 189 173 60"
Zu welchem Termin kann ich den Vertrag mit Ihnen kündigen?,Die Kündigung ist drei Monate vor Vertragsverlängerung schriftlich unter dskit@iitr.de einzureichen. 
Ich bin bereits Kunde des Datenschutz-Kits. Wie kann ich auf weitere eLearning Module zugreifen?,Im Rahmen des Datenschutz-Kit Basis stehen Ihnen standardmäßig vier eLearning-Schulungsmodule zur Verfügung. Zu einem Aufpreis von 300 € netto jährlich schalten wir Ihnen gerne den Vollzugriff auf alle Schulungsinhalte frei. Bitte wenden Sie sich hierzu an dskit@iitr.de
Stellen Sie auch englischsprachige Zertifikate zur Verfügung?,"Wir können Ihnen gerne ein englischsprachiges Datenschutz-Zertifikat ausstellen, mit welchem Sie Ihre datenschutzrechtliche Befassung nachweisen können. Bitte wenden Sie sich hierzu an dskit@iitr.de"
Wie erhalte ich einen Zugang zum Datenschutz-Kit? ,"Bitte stellen Sie zunächst sicher, dass die IITR Datenschutz GmbH Ihnen einen Benutzerzugang zum Datenschutz-Kit eingerichtet hat. Sodann können Sie core.iitr.de aufrufen und unter Angabe Ihrer E-Mailadresse einen Login-Link anfordern. Der Login-Link wird Ihnen per E-Mail zugeschickt. Sollten Sie einen passwortgestützten Login verwenden, dann geben Sie Ihre E-Mailadresse ein, klicken auf ""Login-Link anfordern"" und geben sodann Ihr entsprechendes Passwort ein."
"Habe ich das richtig verstanden, bei ich wiederholtem Besuch der Plattform jedes Mal einen neuen Zugangslink kreieren muss?","Das Login-Verfahren ist standardmäßig auf eine passwortfreie Anmeldung (Magic-Link) eingestellt. Wenn Sie wünschen, richten wir Ihnen gerne einen passwortgestützten Zugang ein. Senden Sie uns dazu eine Nachricht an dskit@iitr.de "
Wir haben immer einen Jahresvertrag bei Ihnen gehabt. Läuft dieser Automatisch ab?,"Der Vertrag mit der IITR Datenschutz GmbH über die Bestellung des externen Datenschutzbeauftragten verlängert sich automatisch zum Ende der Laufzeit, sofern er nicht rechtzeitig gekündigt wird. "
Unsere Datenschutzbeauftragte hat das Unternehmen verlassen. Ich würde gerne mal hinterfragen was wirklich gebraucht wird. Also welche Dokumente brauchen wir unterschrieben von den Mitarbeitern? Aber vielleicht könnten Sie mich da einmal abholen was wir als Firma wirklich brauchen?,"Die Beschäftigten sollten die Verpflichtungserklärung auf Einhaltung des Datenschutzes unterzeichnet haben. Eine entsprechende Vorlage finden Sie unter Kapitel 11, Unterpunkt 2 in Ihrem Datenschutz-Kit. "
Wie kann ich Mitarbeiter zu den Schulungen einladen?,"Über den Menüpunkt „Mitarbeiterschulung“ in der Kategorie „eLearning“ können Sie an Ihre Mitarbeiter Online-Schulungen über einen personalisierten Link per E-Mail versenden. Geben Sie hierfür die E-Mail-Adressen der Empfänger in das obere Textfeld ein, bitte pro Zeile ein Empfänger. In das untere Textfeld können Sie optional einen individuellen Einladungstext für die Schulungsteilnehmer eingeben. Dieser Text wird dann in der Einladungs-E-Mail angezeigt. Wählen Sie anschließend im rechten Bereich das gewünschte Schulungsmodul aus und klicken Sie anschließend auf „Senden“, um die Einladung zur Schulung zu versenden. "
Wie häufig sollte ich meine Mitarbeiterinnen und Mitarbeiter schulen?,Die Datenschutz Schulung der Mitarbeiter sollte mindestens einmal im Jahr erfolgen. - Dies ergibt sich aus der Erwartung der deutschen Datenschutz-Aufsichtsbehörden.
"Bitte teilen Sie uns mit in welchen Ihrer Videos in Ihrem Portal die Personal-Vereinbarung besprochen wird, dass E-Mails mit privatem Inhalt nicht verschickt werden dürfen, sodass diese nicht in die E-Mail-Archivierung gelangen.","Eine Vorlage für eine Vereinbarung über den Zugriff auf die E-Mail-Adresse des Beschäftigten nach Beendigung des Beschäftigungsverhältnisses finden Sie in Kapitel 11, Unterpunkt 3 Ihres Datenschutz-Kits. "
"Wir haben eine Datenschutzverletzung, bei der ein Kunde versehentlich eine Buchungsbestätigung mit Daten aus einem anderen Vorgang erhalten hat. Was müssen wir tun?","Bitte laden Sie sich in Kapitel 10. im Datenschutz-Kit das Dokument ""Interne Meldung Datenschutzverletzung"" herunter und füllen dieses aus. Das ausgefüllte Dokument sollten Sie sodann zur Prüfung an dskit@iitr.de senden. Unsere Berater beurteilen sodann, ob es sich hier um eine (meldepflichtige) Datenschutzverletzung handelt. "
"Aktualisierung Datenschutzhinweise: Gehe ich richtig in der Annahme, dass Sie folgende Dokumente für uns auf Deutsch und Englisch zur Verfügung stellen können: Allgemeine Datenschutzhinweise / General Data Protection Information, Datenschutzhinweise zu Newslettern / Data Protection Information for Newsletters, Datenschutzhinweise zur Verwendung von Cookies / Data Protection Information for the Use of Cookies, Nutzungsbedingungen / Terms of Use",Unter Kapitel 8 im Datenschutz-Kit erhalten Sie eine deutsche und englische Vorlage für die Erstellung einer Datenschutzerklärung. 
Müssen unsere Bewerber unsere Datenschutzbestimmungen unterschreiben?,"Es ist nicht erforderlich, dass Bewerber Datenschutzhinweise unterschreiben. Bewerber sollten jedenfalls die Datenschutzhinweise zur Kenntnis nehmen. "
"Ist das Cookie Banner, wie wir es derzeit auf unserer Website nutzen, so in Ordnung? Reichen die Auswahlmöglichkeiten „ich stimme zu“ und „ich stimme nicht zu“ oder müssen wir hier zwischen technisch notwendigen, Marketing Cookies etc. unterscheiden?",Gerne prüfen wir Ihre Webseite auf Datenschutzkonformität zu unserem Stundensatz von 180€ netto (Abrechnung im 10-Minuten-Takt). Bitte wenden Sie sich dazu an dskit@iitr.de 
Bieten Sie eine Beratung zu Webseiten im Bereich Datenschutz an? ,"Wir können die Beratung im Rahmen einer Beratungsstunde zu 180€ netto (Abrechnung im 10-Minuten-Takt) darstellen oder ein Upgrade auf das Datenschutz-Kit Plus anbieten, sofern Sie dieses nicht bereits bestellt haben. Das Datenschutz-Kit Plus beinhaltet neben einem Onboarding auch ein umfassendes Beratungskontingent und ein jährliches Audit, sowie umfassenden Zugriff auf alle eLearning Schulungen. Bei näherem Interesse können Sie uns gerne unter dskit@iitr.de kontaktieren. "
